,title,type,posted,category
0,"New
Senior Python Engineer, remote, Europe/US (x/f/m)
		    Transporeon
                
Remote, US, Germany, Poland, USA, France, Italy, Spain, Netherlands, UK, Austria, Denmark, Sweden,  ...","Back end, Cloud, Database, Lead, Systems, Web",Posted: 16 September 2022,Developer / Engineer
1,"New
Senior Backend Software Engineer (applied Machine Learning) (f/m/d)
		    ONIQ GmbH
                
Cologne/Hybrid/Remote, NRW, Germany","Back end, Cloud, Database, Machine Learning, Testing",Posted: 16 September 2022,Developer / Engineer
2,"New
Senior Backend Software Engineer (f/m/d)
		    ONIQ GmbH
                
Cologne/Hybrid/Remote, NRW, Germany","Back end, Cloud, Database, Machine Learning, Testing, Web",Posted: 16 September 2022,Developer / Engineer
3,"New
Backend Software Engineer (f/m/d)
		    ONIQ GmbH
                
Cologne/Hybrid/Remote, NRW, Germany","Back end, Cloud, Database, Machine Learning, Testing, Web",Posted: 16 September 2022,Developer / Engineer
4,"New
Remote Python Developer
		    Scopic
                
Mexico, USA","Back end, Web",Posted: 16 September 2022,Developer / Engineer
5,"New
Senior Software Engineer/Tech Lead
		    ClinicSense
                
Toronto, Ontario, Canada","Back end, Front end, Python, React, MySQL, AWS, Django",Posted: 15 September 2022,Developer / Engineer
6,"New
DevOps Engineer
		    The Texas Tribune
                
Austin, Texas, USA","Back end, Cloud, Database, Systems, Web",Posted: 15 September 2022,Developer / Engineer
7,"New
Backend engineer – data ingest (remote, Python)
		    Gridium
                
any in United States (remote), CA, United States","Back end, Cloud, Database, Web, Postgres, Elasticsearch/OpenSearch, AWS, Selenium",Posted: 15 September 2022,Developer / Engineer
8,"New
Django Developer
		    Hut 42 Services Ltd
                
Remote, UK","Back end, Django",Posted: 15 September 2022,Developer / Engineer
9,"New
Machine Learning Engineer
		    Kintsugi
                
Remote, USA",Machine Learning,Posted: 15 September 2022,Developer / Engineer
10,"New
Senior Software Engineer (Cyber Detection)
		    Federal Reserve Bank of Richmond
                
Remote, U.S.","Cloud, REST APIs, Terraform, Ansible, DevSecOps, Lambda, API Gateway, EC2, ECS, DynamoDB",Posted: 14 September 2022,Developer / Engineer
11,"New
Senior Backend Engineer
		    Sendwave
                
Remote, Remote, Belgium, Canada, Costa Rica, France, Germany, Kenya, Poland, Senegal, UK, US","Back end, Django",Posted: 14 September 2022,Developer / Engineer
12,"New
Senior Python Developer (ONLY FOR AFRICAN DEVS, PREFFERED EGYPTIANS)
		    HireTrainRetain.com
                
Remote work, Egypt & Continental Africa","Back end, Big Data, Cloud, Database, Front end, Integration, Lead, Machine Learning, Management, Numeric processing, Operations, Systems, Testing, Text Processing, Web",Posted: 14 September 2022,Developer / Engineer
13,"New
Remote Python Developer
		    Scopic
                
Spain Barcelona, Spain",Front end,Posted: 13 September 2022,Other
14,"New
Developer Advocate
		    Codiga
                
Denver, CO, USA","Evangelism, Operations",Posted: 12 September 2022,Developer / Engineer
15,"New
Senior Python Developer
		    MSD
                
Prague, Czechia","Back end, Cloud, Integration, Lead, Operations, Systems, SQL, Bash, DevOps and more",Posted: 09 September 2022,Developer / Engineer
16,"New
Staff Python Backend Engineer
		    Reef Technologies
                
Warsaw (fully remote), Poland",Back end,Posted: 09 September 2022,Developer / Engineer
17,"New
Software Engineer
		    Utah State University
                
Logan, Utah, USA","Back end, Cloud, Database, Integration, Web",Posted: 08 September 2022,Developer / Engineer
18,"New
Lead SRE Engineer
		    Livepeer
                
Brooklyn, US","Lead, Systems, PowerShell, Python, Golang",Posted: 07 September 2022,Developer / Engineer
19,"New
Lead Software Engineer
		    GlobalLogic UK&I
                
London, UK","Cloud, Python, AWS, API",Posted: 07 September 2022,Developer / Engineer
20,"New
Senior Python Developer (Remote)
		    nineDots
                
Dublin, Ireland","Back end, Big Data, Cloud, Systems, Python, AWS, Networking, Golang",Posted: 06 September 2022,Developer / Engineer
21,"New
Machine Learning Engineer
		    Shift5
                
remote, USA","Big Data, Machine Learning",Posted: 05 September 2022,Researcher / Scientist
22,"New
AI Consultant (f/m/d)
		    1&1 AG
                
Karlsruhe, Germany",Machine Learning,Posted: 05 September 2022,Developer / Engineer
23,"New
Cloud Automation Engineer (f/m/d)
		    IONOS SE
                
Berlin, Germany","Cloud, Systems",Posted: 05 September 2022,Developer / Engineer
24,"New
Backend Software Engineer
		    Kintsugi
                
Remote, USA","Back end, PostgreSQL, Python, FastAPI, Flask, PyTorch, GitLab",Posted: 02 September 2022,Developer / Engineer
